;Fecha;Contagios acum_p;Activos_p;Muertes_p;Recuperados_p;Contagios por dia_p;Ciudad_p
144;5/09/2020;34208;3832;1664;28712;169;Barranquilla
145;6/09/2020;34303;3511;1668;29124;95;Barranquilla
146;7/09/2020;34512;3472;1669;29371;209;Barranquilla
147;8/09/2020;34859;3560;1671;29628;347;Barranquilla
148;9/09/2020;35022;3106;1678;30238;163;Barranquilla
149;10/09/2020;35122;2937;1680;30505;100;Barranquilla
150;11/09/2020;35162;2790;1680;30692;40;Barranquilla
151;12/09/2020;35326;2741;1682;30903;164;Barranquilla
152;13/09/2020;35479;2633;1686;31160;153;Barranquilla
153;14/09/2020;35605;2469;1688;31448;126;Barranquilla
154;15/09/2020;35691;2352;1689;31650;86;Barranquilla
155;16/09/2020;35817;2229;1692;31896;126;Barranquilla
156;17/09/2020;35888;1916;1697;32275;71;Barranquilla
157;18/09/2020;35952;1813;1701;32438;64;Barranquilla
158;19/09/2020;36036;1621;1705;32710;84;Barranquilla
159;20/09/2020;36098;1581;1706;32811;62;Barranquilla
160;21/09/2020;36186;1528;1713;32945;88;Barranquilla
161;22/09/2020;36243;1449;1717;33077;57;Barranquilla
162;23/09/2020;36443;1460;1717;33266;200;Barranquilla
163;24/09/2020;36520;1404;1717;33399;77;Barranquilla
323;5/09/2020;163338;66826;4821;91691;4627;Bogotá D.C.
324;6/09/2020;166717;65235;4896;96586;3379;Bogotá D.C.
325;7/09/2020;171369;65247;4996;101126;4652;Bogotá D.C.
326;8/09/2020;176384;65387;5085;105912;5015;Bogotá D.C.
327;9/09/2020;179598;65604;5164;108830;3214;Bogotá D.C.
328;10/09/2020;181833;65189;5244;111400;2235;Bogotá D.C.
329;11/09/2020;186100;66086;5324;114690;4267;Bogotá D.C.
330;12/09/2020;188274;61437;5385;121452;2174;Bogotá D.C.
331;13/09/2020;192700;62234;5456;125010;4426;Bogotá D.C.
332;14/09/2020;195186;61124;5547;128515;2486;Bogotá D.C.
333;15/09/2020;199363;61373;5617;132373;4177;Bogotá D.C.
334;16/09/2020;201879;60332;5701;135846;2516;Bogotá D.C.
335;17/09/2020;204061;57033;5756;141272;2182;Bogotá D.C.
336;18/09/2020;207399;56087;5829;145483;3338;Bogotá D.C.
337;19/09/2020;209245;54687;5885;148673;1846;Bogotá D.C.
338;20/09/2020;211294;54158;5944;151192;2049;Bogotá D.C.
339;21/09/2020;213625;52012;5990;155623;2331;Bogotá D.C.
340;22/09/2020;216648;51540;6044;159064;3023;Bogotá D.C.
341;23/09/2020;219579;52527;6082;160970;2931;Bogotá D.C.
342;24/09/2020;221738;53877;6092;161769;2159;Bogotá D.C.
494;5/09/2020;29559;8845;1147;19567;442;Cali
495;6/09/2020;29893;8178;1166;20549;334;Cali
496;7/09/2020;30714;8567;1178;20969;821;Cali
497;8/09/2020;31545;8667;1193;21685;831;Cali
498;9/09/2020;32539;9059;1205;22275;994;Cali
499;10/09/2020;33037;9036;1222;22779;498;Cali
500;11/09/2020;33564;8853;1237;23474;527;Cali
501;12/09/2020;33837;8620;1253;23964;273;Cali
502;13/09/2020;34315;8409;1268;24638;478;Cali
503;14/09/2020;34902;8371;1281;25250;587;Cali
504;15/09/2020;35130;7965;1292;25873;228;Cali
505;16/09/2020;35526;7651;1308;26567;396;Cali
506;17/09/2020;35894;7488;1328;27078;368;Cali
507;18/09/2020;36220;7116;1342;27762;326;Cali
508;19/09/2020;36554;6801;1363;28390;334;Cali
509;20/09/2020;36863;6619;1383;28861;309;Cali
510;21/09/2020;37427;6563;1399;29465;564;Cali
511;22/09/2020;37809;6257;1408;30144;382;Cali
512;23/09/2020;38070;6011;1418;30641;261;Cali
513;24/09/2020;38466;6109;1420;30937;396;Cali
661;5/09/2020;18174;2239;529;15406;127;Cartagena de Indias
662;6/09/2020;18233;2103;529;15601;59;Cartagena de Indias
663;7/09/2020;18440;2166;531;15743;207;Cartagena de Indias
664;8/09/2020;18562;2042;535;15985;122;Cartagena de Indias
665;9/09/2020;18627;1796;536;16295;65;Cartagena de Indias
666;10/09/2020;18703;1727;540;16436;76;Cartagena de Indias
667;11/09/2020;19215;2082;542;16591;512;Cartagena de Indias
668;12/09/2020;19268;1666;543;17059;53;Cartagena de Indias
669;13/09/2020;19411;1619;543;17249;143;Cartagena de Indias
670;14/09/2020;19691;1690;544;17457;280;Cartagena de Indias
671;15/09/2020;19835;1603;545;17687;144;Cartagena de Indias
672;16/09/2020;20087;1547;545;17995;252;Cartagena de Indias
673;17/09/2020;20146;1509;546;18091;59;Cartagena de Indias
674;18/09/2020;20270;1557;546;18167;124;Cartagena de Indias
675;19/09/2020;20360;1519;547;18294;90;Cartagena de Indias
676;20/09/2020;20442;1435;549;18458;82;Cartagena de Indias
677;21/09/2020;20582;1496;551;18535;140;Cartagena de Indias
678;22/09/2020;20630;1480;552;18598;48;Cartagena de Indias
679;23/09/2020;20697;1345;553;18799;67;Cartagena de Indias
680;24/09/2020;20758;1251;553;18954;61;Cartagena de Indias
831;5/09/2020;35512;15261;736;19515;873;Medellín
832;6/09/2020;36132;14284;755;21093;620;Medellín
833;7/09/2020;37041;14077;776;22188;909;Medellín
834;8/09/2020;38015;13302;797;23916;974;Medellín
835;9/09/2020;38442;12197;817;25428;427;Medellín
836;10/09/2020;39122;11802;842;26478;680;Medellín
837;11/09/2020;40044;11865;855;27324;922;Medellín
838;12/09/2020;40845;11660;878;28307;801;Medellín
839;13/09/2020;41375;11312;896;29167;530;Medellín
840;14/09/2020;41990;10822;924;30244;615;Medellín
841;15/09/2020;43343;11232;937;31174;1353;Medellín
842;16/09/2020;44064;11145;962;31957;721;Medellín
843;17/09/2020;45079;11444;985;32650;1015;Medellín
844;18/09/2020;45836;11278;1003;33555;757;Medellín
845;19/09/2020;46405;10901;1021;34483;569;Medellín
846;20/09/2020;47328;10983;1040;35305;923;Medellín
847;21/09/2020;47961;10392;1053;36516;633;Medellín
848;22/09/2020;48693;10213;1065;37415;732;Medellín
849;23/09/2020;48975;9892;1072;38011;282;Medellín
850;24/09/2020;49932;9349;1076;39507;957;Medellín
;;;;;;;
